1.1,综合
1.14.1.14,固定资产合计
1.14.1.15,固定资产原价合计
1.14.1.16,累计折旧
1.14.1.17,资产总计
1.14.1.18,流动负债合计
1.14.1.19,应付帐款
1.14.1.20,负债合计
1.14.1.21,所有者权益合计
1.14.1.22,主营业务收入
1.14.1.23,主营业务成本
1.14.1.24,销售费用
1.14.1.25,主营业务税金及附加
1.14.1.26,管理费用
1.14.1.27,财务费用
1.14.1.28,利息支出
1.14.1.29,营业利润
1.14.1.30,利润总额
1.14.1.31,亏损企业亏损总额
1.14.1.32,应交所得税
1.14.1.33,本年应交增值税
1.14.1.34,工业销售产值(现价)
1.14.1.35,出口交货值
1.14.2,按行业分规模以上工业企业主要经济指标(2000-2002)
1.14.2.1,企业单位数
1.14.2.2,亏损企业单位数
1.14.2.3,实收资本
1.14.2.4,国家资本金
1.14.2.5,集体资本金
1.14.2.6,法人资本金
1.14.2.7,个人资本金
1.14.2.8,港澳台资本金
1.14.2.9,外商资本金
1.14.2.10,流动资产合计
1.14.2.11,应收账款净额
1.14.2.12,存货
1.14.2.13,产成品
1.14.2.14,固定资产合计
1.14.2.15,固定资产原价合计
1.14.2.16,累计折旧
1.14.2.17,资产总计
1.14.2.18,流动负债合计
1.14.2.19,应付帐款
1.14.2.20,负债合计
1.14.2.21,所有者权益合计
1.14.2.22,主营业务收入
1.14.2.23,主营业务成本
1.14.2.24,销售费用
1.14.2.25,主营业务税金及附加
1.14.2.26,管理费用
1.14.2.27,财务费用
1.14.2.28,利息支出
1.14.2.29,营业利润
1.14.2.30,利润总额
1.14.2.31,亏损企业亏损总额
1.14.2.32,应交所得税
1.14.2.33,本年应交增值税
1.14.2.34,工业销售产值(现价)
1.14.2.35,出口交货值
1.14.3,按行业分规模以上工业企业主要经济指标(2003-2011)
1.14.3.1,企业单位数
1.14.3.2,亏损企业单位数
1.14.3.3,实收资本
1.14.3.4,国家资本金
1.14.3.5,集体资本金
1.14.3.6,法人资本金
1.14.3.7,个人资本金
1.14.3.8,港澳台资本金
1.14.3.9,外商资本金
1.14.3.10,流动资产合计
1.14.3.11,应收账款净额
1.14.3.12,存货
1.14.3.13,产成品
1.14.3.14,固定资产合计
1.14.3.15,固定资产原价合计
1.14.3.16,累计折旧
1.14.3.17,资产总计
1.14.3.18,流动负债合计
1.14.3.19,应付帐款
1.14.3.20,负债合计
1.14.3.21,所有者权益合计
1.14.3.22,主营业务收入
1.14.3.23,主营业务成本
1.14.3.24,销售费用
1.14.3.25,主营业务税金及附加
1.14.3.26,管理费用
1.14.3.27,财务费用
1.14.3.28,利息支出
1.14.3.29,营业利润
1.14.3.30,利润总额
1.14.3.31,亏损企业亏损总额
1.14.3.32,应交所得税
1.14.3.33,本年应交增值税
1.14.3.34,工业销售产值(现价)
1.14.3.35,出口交货值
1.14.4,按行业分规模以上工业企业主要经济指标(2012-至今)
1.14.4.1,企业单位数
1.14.4.2,亏损企业单位数
1.14.4.3,实收资本
1.14.4.4,国家资本金
1.14.4.5,集体资本金
1.14.4.6,法人资本金
1.14.4.7,个人资本金
1.14.4.8,港澳台资本金
1.14.4.9,外商资本金
1.14.4.10,流动资产合计
1.14.4.11,应收账款净额
1.14.4.12,存货
1.14.4.13,产成品
1.14.4.14,固定资产合计
1.14.4.15,固定资产原价合计
1.14.4.16,累计折旧
1.14.4.17,资产总计
1.14.4.18,流动负债合计
1.14.4.19,应付帐款
1.14.4.20,负债合计
1.14.4.21,所有者权益合计
1.14.4.22,主营业务收入
1.14.4.23,主营业务成本
1.14.4.24,销售费用
1.14.4.25,主营业务费用及附加
1.14.4.26,管理费用
1.14.4.27,财务费用
1.14.4.28,利息支出
1.14.4.29,营业利润
1.14.4.30,利润总额
1.14.4.31,亏损总额
1.14.4.32,应交所得税
1.14.4.33,本年应交增值税
1.14.4.34,工业销售产值(现价)
1.14.4.35,出口交货值
1.14.5,按行业分国有控股工业企业主要经济指标(2000-2002)
1.14.5.1,企业单位数
1.14.5.2,亏损企业单位数
1.14.5.3,实收资本
1.14.5.4,国家资本金
1.14.5.5,集体资本金
1.14.5.6,法人资本金
1.14.5.7,个人资本金
1.14.5.8,港澳台资本金
1.14.5.9,外商资本金
1.14.5.10,流动资产合计
1.14.5.11,应收账款净额
1.14.5.12,存货
1.14.5.13,产成品
1.14.5.14,固定资产合计
1.14.5.15,固定资产原价合计
1.14.5.16,累计折旧
1.14.5.17,资产总计
1.14.5.18,流动负债合计
1.14.5.19,应付帐款
1.14.5.20,负债合计
1.14.5.21,所有者权益合计
1.14.5.22,主营业务收入
1.14.5.23,主营业务成本
1.14.5.24,销售费用
1.14.5.25,主营业务税金及附加
1.14.5.26,管理费用
1.14.5.27,财务费用
1.14.5.28,利息支出
1.14.5.29,营业利润
1.14.5.30,利润总额
1.14.5.31,亏损企业亏损总额
1.14.5.32,应交所得税
1.14.5.33,本年应交增值税
1.14.5.34,工业销售产值(现价)
1.14.5.35,出口交货值
1.14.6,按行业分国有控股工业企业主要经济指标(2003-2011)
1.14.6.1,企业单位数
1.14.6.2,亏损企业单位数
1.14.6.3,实收资本
1.14.6.4,国家资本金
1.14.6.5,集体资本金
1.14.6.6,法人资本金
1.14.6.7,个人资本金
1.14.6.8,港澳台资本金
1.14.6.9,外商资本金
1.14.6.10,流动资产合计
1.14.6.11,应收账款净额
1.14.6.12,存货
1.14.6.13,产成品
1.14.6.14,固定资产合计
1.14.6.15,固定资产原价合计
1.14.6.16,累计折旧
1.14.6.17,资产总计
1.14.6.18,流动负债合计
1.14.6.19,应付帐款
1.14.6.20,负债合计
1.14.6.21,所有者权益合计
1.14.6.22,主营业务收入
1.14.6.23,主营业务成本
1.14.6.24,销售费用
1.14.6.25,主营业务税金及附加
1.14.6.26,管理费用
1.14.6.27,财务费用
1.14.6.28,利息支出
1.14.6.29,营业利润
1.14.6.30,利润总额
1.14.6.31,亏损企业亏损总额
1.14.6.32,应交所得税
1.14.6.33,本年应交增值税
1.14.6.34,工业销售产值(现价)
1.14.6.35,出口交货值
1.14.7,按行业分国有控股工业企业主要经济指标(2012-至今)
1.14.7.1,企业单位数
1.14.7.2,亏损企业单位数
1.14.7.3,实收资本
1.14.7.4,国家资本金
1.14.7.5,集体资本金
1.14.7.6,法人资本金
1.14.7.7,个人资本金
1.14.7.8,港澳台资本金
1.14.7.9,外商资本金
1.14.7.10,流动资产合计
1.14.7.11,应收账款净额
1.14.7.12,存货
1.14.7.13,产成品
1.14.7.14,固定资产合计
1.14.7.15,固定资产原价合计
1.14.7.16,累计折旧
1.14.7.17,资产总计
1.14.7.18,流动负债合计
1.14.7.19,应付帐款
1.14.7.20,负债合计
1.14.7.21,所有者权益合计
1.14.7.22,主营业务收入
1.14.7.23,主营业务成本
1.14.7.24,销售费用
1.14.7.25,主营业务费用及附加
1.14.7.26,管理费用
1.14.7.27,财务费用
1.14.7.28,利息支出
1.14.7.29,营业利润
1.14.7.30,利润总额
1.14.7.31,亏损总额
1.14.7.32,应交所得税
1.14.7.33,本年应交增值税
1.14.7.34,工业销售产值(现价)
1.14.7.35,出口交货值
1.14.8,按行业分私营工业企业主要经济指标(2000-2002)
1.14.8.1,企业单位数
1.14.8.2,亏损企业单位数
1.14.8.3,实收资本
1.14.8.4,国家资本金
1.14.8.5,集体资本金
1.14.8.6,法人资本金
1.14.8.7,个人资本金
1.14.8.8,港澳台资本金
1.14.8.9,外商资本金
1.14.8.10,流动资产合计
1.14.8.11,应收账款净额
1.14.8.12,存货
1.14.8.13,产成品
1.14.8.14,固定资产合计
1.14.8.15,固定资产原价合计
1.14.8.16,累计折旧
1.14.8.17,资产总计
1.14.8.18,流动负债合计
1.14.8.19,应付帐款
1.14.8.20,负债合计
1.14.8.21,所有者权益合计
1.14.8.22,主营业务收入
1.14.8.23,主营业务成本
1.14.8.24,销售费用
1.14.8.25,主营业务税金及附加
1.14.8.26,管理费用
1.14.8.27,财务费用
1.14.8.28,利息支出
1.14.8.29,营业利润
1.14.8.30,利润总额
1.14.8.31,亏损企业亏损总额
1.14.8.32,应交所得税
1.14.8.33,本年应交增值税
1.14.8.34,工业销售产值(现价)
1.14.8.35,出口交货值
1.14.9,按行业分私营工业企业主要经济指标(2003-2011)
1.14.9.1,企业单位数
1.14.9.2,亏损企业单位数
1.14.9.3,实收资本
1.14.9.4,国家资本金
1.14.9.5,集体资本金
1.14.9.6,法人资本金
1.14.9.7,个人资本金
1.14.9.8,港澳台资本金
1.14.9.9,外商资本金
1.14.9.10,流动资产合计
1.14.9.11,应收账款净额
1.14.9.12,存货
1.14.9.13,产成品
1.14.9.14,固定资产合计
1.14.9.15,固定资产原价合计
1.14.9.16,累计折旧
1.14.9.17,资产总计
1.14.9.18,流动负债合计
1.14.9.19,应付帐款
1.14.9.20,负债合计
1.14.9.21,所有者权益合计
1.14.9.22,主营业务收入
1.14.9.23,主营业务成本
1.14.9.24,销售费用
1.14.9.25,主营业务税金及附加
1.14.9.26,管理费用
1.14.9.27,财务费用
1.14.9.28,利息支出
1.14.9.29,营业利润
1.14.9.30,利润总额
1.14.9.31,亏损企业亏损总额
1.14.9.32,应交所得税
1.14.9.33,本年应交增值税
1.14.9.34,工业销售产值(现价)
1.14.9.35,出口交货值
1.14.10,按行业分私营工业企业主要经济指标(2012-至今)
1.14.10.1,企业单位数
1.14.10.2,亏损企业单位数
1.14.10.3,实收资本
1.14.10.4,国家资本金
1.14.10.5,集体资本金
1.14.10.6,法人资本金
1.14.10.7,个人资本金
1.14.10.8,港澳台资本金
1.14.10.9,外商资本金
1.14.10.10,流动资产合计
1.14.10.11,应收账款净额
1.14.10.12,存货
1.14.10.13,产成品
1.14.10.14,固定资产合计
1.14.10.15,固定资产原价合计
1.14.10.16,累计折旧
1.14.10.17,资产总计
1.14.10.18,流动负债合计
1.14.10.19,应付帐款
1.14.10.20,负债合计
1.14.10.21,所有者权益合计
1.14.10.22,主营业务收入
1.14.10.23,主营业务成本
1.14.10.24,销售费用
1.14.10.25,主营业务费用及附加
1.14.10.26,管理费用
1.14.10.27,财务费用
1.14.10.28,利息支出
1.14.10.29,营业利润
1.14.10.30,利润总额
1.14.10.31,亏损总额
1.14.10.32,应交所得税
1.14.10.33,本年应交增值税
1.14.10.34,工业销售产值(现价)
1.14.10.35,出口交货值
1.14.11,按行业分外商及港澳台商投资工业企业主要经济指标(2000-2002)
1.14.11.1,企业单位数
1.14.11.2,亏损企业单位数
1.14.11.3,实收资本
1.14.11.4,国家资本金
1.14.11.5,集体资本金
1.14.11.6,法人资本金
1.14.11.7,个人资本金
1.14.11.8,港澳台资本金
1.14.11.9,外商资本金
1.14.11.10,流动资产合计
1.14.11.11,应收账款净额
1.14.11.12,存货
1.14.11.13,产成品
1.14.11.14,固定资产合计
1.14.11.15,固定资产原价合计
1.14.11.16,累计折旧
1.14.11.17,资产总计
1.14.11.18,流动负债合计
1.14.11.19,应付帐款
1.14.11.20,负债合计
1.14.11.21,所有者权益合计
1.14.11.22,主营业务收入
1.14.11.23,主营业务成本
1.14.11.24,销售费用
1.14.11.25,主营业务税金及附加
1.14.11.26,管理费用
1.14.11.27,财务费用
1.14.11.28,利息支出
1.14.11.29,营业利润
1.14.11.30,利润总额
1.14.11.31,亏损企业亏损总额
1.14.11.32,应交所得税
1.14.11.33,本年应交增值税
1.14.11.34,工业销售产值(现价)
1.14.11.35,出口交货值
1.14.12,按行业分外商及港澳台商投资工业企业主要经济指标(2003-2011)
1.14.12.1,企业单位数
1.14.12.2,亏损企业单位数
1.14.12.3,实收资本
1.14.12.4,国家资本金
1.14.12.5,集体资本金
1.14.12.6,法人资本金
1.14.12.7,个人资本金
1.14.12.8,港澳台资本金
1.14.12.9,外商资本金
1.14.12.10,流动资产合计
1.14.12.11,应收账款净额
1.14.12.12,存货
1.14.12.13,产成品
1.14.12.14,固定资产合计
1.14.12.15,固定资产原价合计
1.14.12.16,累计折旧
1.14.12.17,资产总计
1.14.12.18,流动负债合计
1.14.12.19,应付帐款
1.14.12.20,负债合计
1.14.12.21,所有者权益合计
1.14.12.22,主营业务收入
1.14.12.23,主营业务成本
1.14.12.24,销售费用
1.14.12.25,主营业务税金及附加
1.14.12.26,管理费用
1.14.12.27,财务费用
1.14.12.28,利息支出
1.14.12.29,营业利润
1.14.12.30,利润总额
1.14.12.31,亏损企业亏损总额
1.14.12.32,应交所得税
1.14.12.33,本年应交增值税
1.14.12.34,工业销售产值(现价)
1.14.12.35,出口交货值
1.14.13,按行业分外商及港澳台商投资工业企业主要经济指标(2012-至今)
1.14.13.1,企业单位数
1.14.13.2,亏损企业单位数
1.14.13.3,实收资本
1.14.13.4,国家资本金
1.14.13.5,集体资本金
1.14.13.6,法人资本金
1.14.13.7,个人资本金
1.14.13.8,港澳台资本金
1.14.13.9,外商资本金
1.14.13.10,流动资产合计
1.14.13.11,应收账款净额
1.14.13.12,存货
1.14.13.13,产成品
1.14.13.14,固定资产合计
1.14.13.15,固定资产原价合计
1.14.13.16,累计折旧
1.14.13.17,资产总计
1.14.13.18,流动负债合计
1.14.13.19,应付帐款
1.14.13.20,负债合计
1.14.13.21,所有者权益合计
1.14.13.22,主营业务收入
1.14.13.23,主营业务成本
1.14.13.24,销售费用
1.14.13.25,主营业务费用及附加
1.14.13.26,管理费用
1.14.13.27,财务费用
1.14.13.28,利息支出
1.14.13.29,营业利润
1.14.13.30,利润总额
1.14.13.31,亏损总额
1.14.13.32,应交所得税
1.14.13.33,本年应交增值税
1.14.13.34,工业销售产值(现价)
1.14.13.35,出口交货值
1.14.14,按行业分大中型工业企业主要经济指标(2000-2002)
1.14.14.1,企业单位数
1.14.14.2,亏损企业单位数
1.14.14.3,实收资本
1.14.14.4,国家资本金
1.14.14.5,集体资本金
1.14.14.6,法人资本金
1.14.14.7,个人资本金
1.14.14.8,港澳台资本金
1.14.14.9,外商资本金
1.14.14.10,流动资产合计
1.14.14.11,应收账款净额
1.14.14.12,存货
1.14.14.13,产成品
1.14.14.14,固定资产合计
1.14.14.15,固定资产原价合计
1.14.14.16,累计折旧
1.14.14.17,资产总计
1.14.14.18,流动负债合计
1.14.14.19,应付帐款
1.14.14.20,负债合计
1.14.14.21,所有者权益合计
1.14.14.22,主营业务收入
1.14.14.23,主营业务成本
1.14.14.24,销售费用
1.14.14.25,主营业务税金及附加
1.14.14.26,管理费用
1.14.14.27,财务费用
1.14.14.28,利息支出
1.14.14.29,营业利润
1.14.14.30,利润总额
1.14.14.31,亏损企业亏损总额
1.14.14.32,应交所得税
1.14.14.33,本年应交增值税
1.14.14.34,工业销售产值(现价)
1.14.14.35,出口交货值
1.14.15,按行业分大中型工业企业主要经济指标(2003-2011)
1.14.15.1,企业单位数
1.14.15.2,亏损企业单位数
1.14.15.3,实收资本
1.14.15.4,国家资本金
1.14.15.5,集体资本金
1.14.15.6,法人资本金
1.14.15.7,个人资本金
1.14.15.8,港澳台资本金
1.14.15.9,外商资本金
1.14.15.10,流动资产合计
1.14.15.11,应收账款净额
1.14.15.12,存货
1.14.15.13,产成品
1.14.15.14,固定资产合计
1.14.15.15,固定资产原价合计
1.14.15.16,累计折旧
1.14.15.17,资产总计
1.14.15.18,流动负债合计
1.14.15.19,应付帐款
1.14.15.20,负债合计
1.14.15.21,所有者权益合计
1.14.15.22,主营业务收入
1.14.15.23,主营业务成本
1.14.15.24,销售费用
1.14.15.25,主营业务税金及附加
1.14.15.26,管理费用
1.14.15.27,财务费用
1.14.15.28,利息支出
1.14.15.29,营业利润
1.14.15.30,利润总额
1.14.15.31,亏损企业亏损总额
1.14.15.32,应交所得税
1.14.15.33,本年应交增值税
1.14.15.34,工业销售产值(现价)
1.14.15.35,出口交货值
1.14.16,按行业分大中型工业企业主要经济指标(2012-至今)
1.14.16.1,企业单位数
1.14.16.2,亏损企业单位数
1.14.16.3,实收资本
1.14.16.4,国家资本金
1.14.16.5,集体资本金
1.14.16.6,法人资本金
1.14.16.7,个人资本金
1.14.16.8,港澳台资本金
1.14.16.9,外商资本金
1.14.16.10,流动资产合计
1.14.16.11,应收账款净额
1.14.16.12,存货
1.14.16.13,产成品
1.14.16.14,固定资产合计
1.14.16.15,固定资产原价合计
1.14.16.16,累计折旧
1.14.16.17,资产总计
1.14.16.18,流动负债合计
1.14.16.19,应付帐款
1.14.16.20,负债合计
1.14.16.21,所有者权益合计
1.14.16.22,主营业务收入
1.14.16.23,主营业务成本
1.14.16.24,销售费用
1.14.16.25,主营业务费用及附加
1.14.16.26,管理费用
1.14.16.27,财务费用
1.14.16.28,利息支出
1.14.16.29,营业利润
1.14.16.30,利润总额
1.14.16.31,亏损总额
1.14.16.32,应交所得税
1.14.16.33,本年应交增值税
1.14.16.34,工业销售产值(现价)
1.14.16.35,出口交货值
1.14.17,工业产品产量
1.15,建筑业
1.15.1,建筑业企业概况
1.15.2,按登记注册类型分建筑业企业主要经济指标
1.15.2.1,建筑业企业主要经济指标
1.15.2.2,内资建筑业企业主要经济指标
1.15.2.3,国有建筑业企业主要经济指标
1.15.2.4,集体建筑业企业主要经济指标
1.15.2.5,港澳台商投资建筑业企业主要经济指标
1.15.2.6,港澳台商独资建筑业企业主要经济指标
1.15.2.7,外商投资建筑业企业主要经济指标
1.15.2.8,外商独资建筑业企业主要经济指标
1.15.3,总承包建筑业企业主要经济指标
1.15.4,专业承包建筑业企业主要经济指标
1.15.5,建筑业企业技术装备情况
1.15.6,国有建筑业企业技术装备情况
1.15.7,建筑业总产值
1.15.8,按行业分建筑业总产值
1.15.9,建筑业企业签订合同和承包工程完成情况
1.15.10,按登记注册类型分建筑业企业实收资本
1.15.11,建筑业企业资产
1.15.12,按登记注册类型分建筑业企业资产
1.15.13,建筑业企业负债及所有者权益
1.15.14,按登记注册类型分建筑业企业所有者权益
1.15.15,按登记注册类型分建筑业企业负债
1.15.16,建筑业企业总收入
1.15.17,按登记注册类型分建筑业企业总收入
1.15.18,建筑业企业利税总额
1.15.19,按登记注册类型分建筑业企业税金总额
1.15.20,按登记注册类型分建筑业企业利润总额
1.15.21,按资质等级分总承包建筑业企业利润总额
1.15.22,按资质等级分专业承包建筑业企业利润总额
1.15.23,按登记注册类型分建筑业企业工程结算利润
1.15.24,建筑业劳动生产率
1.15.25,建筑业房屋建筑面积
1.15.26,劳务分包建筑业企业主要指标
1.15.27,勘察设计机构
1.15.28,工程招标代理机构
1.15.29,建设工程监理企业和人员数
1.15.29.1,企业单位数
1.15.29.2,从业人员
1.15.29.3,注册执业人员
1.15.30,建设工程监理营业收入
1.15.30.1,营业收入
1.15.30.2,工程监理收入
1.15.30.3,工程招标代理收入
1.15.30.4,工程造价咨询收入
1.15.30.5,工程项目管理与咨询服务收入
1.15.30.6,建设工程监理其他收入
1.16,运输和邮电
1.16.1,交通运输、邮电通信业就业人员数
1.16.2,运输线路长度
1.16.3,运输线路质量
1.16.4,客运量
1.16.5,旅客周转量
1.16.6,货运量
1.16.7,货物周转量
1.16.8,旅客运输平均运距
1.16.9,货物运输平均运距
1.16.10,国家营业铁路基本情况
1.16.11,铁路机车拥有量
1.16.12,国家铁路客、货车拥有量
1.16.13,按货类分国家铁路货物运输量
1.16.13.1,货运量
1.16.13.2,货物周转量
1.16.13.3,平均运距
1.16.14,铁路主要干线客货运输量
1.16.14.1,客运量
1.16.14.2,旅客周转量
1.16.14.3,货运量
1.16.14.4,货物周转量
1.16.15,国家铁路主要车站旅客发送量
1.16.16,国家铁路主要车站货物发送量
1.16.17,国家铁路运输主要技术经济指标
1.16.18,民用汽车拥有量
1.16.19,私人汽车拥有量
1.16.20,新注册民用汽车数量
1.16.21,公路营运汽车拥有量
1.16.22,民用运输船舶拥有量
1.16.23,沿海规模以上港口分货类吞吐量
1.16.23.1,货物吞吐量
1.16.23.2,出港量
1.16.23.3,进港量
1.16.24,沿海主要规模以上港口货物吞吐量
1.16.25,沿海主要规模以上港口码头泊位数
1.16.25.1,码头长度
1.16.25.2,泊位
1.16.25.3,万吨级泊位
1.16.26,内河主要规模以上港口码头泊位数
1.16.26.1,码头长度
1.16.26.2,泊位
1.16.26.3,万吨级泊位
1.16.27,民用航空航线及飞机架数
1.16.28,民用航空运输量及通用航空飞行时间
1.16.29,邮电业务量
1.16.30,快递业务量
1.16.31,邮政业网点及邮递线路
1.16.32,电信主要通信能力
1.16.33,电信通信服务水平
1.16.34,邮政通信服务水平
1.16.35,互联网主要指标发展情况
1.17,社会消费品零售总额
1.18,批发和零售业
1.18.1,批发和零售业情况
1.18.2,限额以上批发业企业基本情况和商品购销存情况
1.18.2.1,按登记注册类型分限额以上批发业法人企业数
1.18.2.2,按国民经济行业分限额以上批发业法人企业数
1.18.2.3,按登记注册类型分限额以上批发业年末从业人数
1.18.2.4,按国民经济行业分限额以上批发业年末从业人数
1.18.2.5,按登记注册类型分限额以上批发业企业商品购进额
1.18.2.6,按国民经济行业分限额以上批发业企业商品购进额
1.18.2.7,按登记注册类型分限额以上批发业企业商品进口额
1.18.2.8,按国民经济行业分限额以上批发业企业商品进口额
1.18.2.9,按登记注册类型分限额以上批发业企业商品销售额
1.18.2.10,按国民经济行业分限额以上批发业企业商品销售额
1.18.2.11,按登记注册类型分限额以上批发业企业商品出口额
1.18.2.12,按国民经济行业分限额以上批发业企业商品出口额
1.18.2.13,按登记注册类型分限额以上批发业企业期末商品库存额
1.18.2.14,按国民经济行业分限额以上批发业企业期末商品库存额
1.18.3,限额以上批发业企业资产及负债
1.18.3.1,按登记注册类型分限额以上批发业企业资产总计
1.18.3.2,按国民经济行业分限额以上批发业企业资产总计
1.18.3.3,按登记注册类型分限额以上批发业企业流动资产
1.18.3.4,按国民经济行业分限额以上批发业企业流动资产
1.18.3.5,按登记注册类型分限额以上批发业企业固定资产
1.18.3.6,按国民经济行业分限额以上批发业企业固定资产
1.18.3.7,按登记注册类型分限额以上批发业企业负债
1.18.3.8,按国民经济行业分限额以上批发业企业负债
1.18.3.9,按登记注册类型分限额以上批发业企业所有者权益
1.18.3.10,按国民经济行业分限额以上批发业企业所有者权益
1.18.4,限额以上批发业企业主要财务指标
1.18.4.1,按登记注册类型分限额以上批发业企业主营业务收入
1.18.4.2,按国民经济行业分限额以上批发业企业主营业务收入
1.18.4.3,按登记注册类型分限额以上批发业企业主营业务成本
1.18.4.4,按国民经济行业分限额以上批发业企业主营业务成本
1.18.4.5,按登记注册类型分限额以上批发业企业主营业务税金及附加
1.18.4.6,按国民经济行业分限额以上批发业企业主营业务税金及附加
1.18.4.7,按登记注册类型分限额以上批发业企业主营业务利润
1.18.4.8,按国民经济行业分限额以上批发业企业主营业务利润
1.18.5,限额以上零售业企业基本情况和商品购销存情况
1.18.5.1,按登记注册类型分限额以上零售业法人企业数
1.18.5.2,按国民经济行业分限额以上零售业法人企业数
1.18.5.3,按登记注册类型分限额以上零售业年末从业人数
1.18.5.4,按国民经济行业分限额以上零售业年末从业人数
1.18.5.5,按登记注册类型分限额以上零售业企业商品购进额
1.18.5.6,按国民经济行业分限额以上零售业企业商品购进额
1.18.5.7,按登记注册类型分限额以上零售业企业商品进口额
1.18.5.8,按国民经济行业分限额以上零售业企业商品进口额
1.18.5.9,按登记注册类型分限额以上零售业企业商品销售额
1.18.5.10,按国民经济行业分限额以上零售业企业商品销售额
1.18.5.11,按登记注册类型分限额以上零售业企业商品出口额
1.18.5.12,按国民经济行业分限额以上零售业企业商品出口额
1.18.5.13,按登记注册类型分限额以上零售业企业期末商品库存额
1.18.5.14,按国民经济行业分限额以上零售业企业期末商品库存额
1.18.6,限额以上零售业企业资产及负债
1.18.6.1,按登记注册类型分限额以上零售业企业资产
1.18.6.2,按国民经济行业分限额以上零售业企业资产
1.18.6.3,按登记注册类型分限额以上零售业企业流动资产
1.18.6.4,按国民经济行业分限额以上零售业企业流动资产
1.18.6.5,按登记注册类型分限额以上零售业企业固定资产
1.18.6.6,按国民经济行业分限额以上零售业企业固定资产
1.18.6.7,按登记注册类型分限额以上零售业企业负债
1.18.6.8,按国民经济行业分限额以上零售业企业负债
1.18.6.9,按登记注册类型分限额以上零售业企业所有者权益
1.18.6.10,按国民经济行业分限额以上零售业企业所有者权益
1.18.7,限额以上零售业企业主要财务指标
1.18.7.1,按登记注册类型分限额以上零售业企业主营业务收入
1.18.7.2,按国民经济行业分限额以上零售业企业主营业务收入
1.18.7.3,按登记注册类型分限额以上零售业企业主营业务成本
1.18.7.4,按国民经济行业分限额以上零售业企业主营业务成本
1.18.7.5,按登记注册类型分限额以上零售业企业主营业务税金及附加
1.18.7.6,按国民经济行业分限额以上零售业企业主营业务税金及附加
1.18.7.7,按登记注册类型分限额以上零售业企业主营业务利润
1.18.7.8,按国民经济行业分限额以上零售业企业主营业务利润
1.18.8,连锁零售企业
1.18.8.1,按登记注册类型分连锁零售企业门店总数
1.18.8.2,按行业分连锁零售企业门店总数
1.18.8.3,按业态分连锁零售企业门店总数
1.18.8.4,按登记注册类型分连锁零售企业年末从业人数
1.18.8.5,按行业分连锁零售企业年末从业人数
1.18.8.6,按业态分连锁零售企业年末从业人数
1.18.8.7,按登记注册类型分连锁零售企业零售营业面积
1.18.8.8,按行业分连锁零售企业零售营业面积
1.18.8.9,按业态分连锁零售企业零售营业面积
1.18.8.10,按登记注册类型分连锁零售企业商品销售额
1.18.8.11,按行业分连锁零售企业商品销售额
1.18.8.12,按业态分连锁零售企业商品销售额
1.18.9,亿元以上商品交易市场基本情况
1.18.9.1,市场数量
1.18.9.2,摊位数
1.18.9.3,营业面积
1.18.9.4,成交额
1.18.9.5,批发市场成交额
1.18.9.6,零售市场成交额
1.18.10,亿元以上商品交易市场摊位分类情况
1.18.10.1,摊位数
1.18.10.2,成交额
1.18.10.3,批发市场成交额
1.18.10.4,零售市场成交额
1.19,住宿和餐饮业
1.19.1,住宿和餐饮业情况
1.19.2,限额以上住宿业企业基本情况和经营情况
1.19.2.1,按登记注册类型和行业分限额以上住宿业法人企业数
1.19.2.2,按登记注册类型和行业分限额以上住宿业企业年末从业人数
1.19.2.3,按登记注册类型和行业分限额以上住宿业企业营业额
1.19.2.4,按登记注册类型和行业分限额以上住宿业企业客房收入
1.19.2.5,按登记注册类型和行业分限额以上住宿业企业餐饮收入
1.19.3,限额以上住宿业企业资产及负债
1.19.3.1,按登记注册类型和行业分限额以上住宿业企业资产
1.19.3.2,按登记注册类型和行业分限额以上住宿业企业流动资产
1.19.3.3,按登记注册类型和行业分限额以上住宿业企业固定资产
1.19.3.4,按登记注册类型和行业分限额以上住宿业企业负债
1.19.3.5,按登记注册类型和行业分限额以上住宿业企业所有者权益
1.19.4,限额以上住宿业企业主要财务指标
1.19.4.1,按登记注册类型和行业分限额以上住宿业企业主营业务收入
1.19.4.2,按登记注册类型和行业分限额以上住宿业企业主营业务成本
1.19.4.3,按登记注册类型和行业分限额以上住宿业企业主营业务税金及附加
1.19.4.4,按登记注册类型和行业分限额以上住宿业企业主营业务利润
1.19.5,限额以上餐饮业企业基本情况和经营情况
1.19.5.1,按登记注册类型和行业分限额以上餐饮业法人企业数
1.19.5.2,按登记注册类型和行业分限额以上餐饮业企业年末从业人数
1.19.5.3,按登记注册类型和行业分限额以上餐饮业企业营业额
1.19.5.4,按登记注册类型和行业分限额以上餐饮业企业餐费收入
1.19.6,限额以上餐饮业企业资产及负债
1.19.6.1,按登记注册类型和行业分限额以上餐饮业企业资产
1.19.6.2,按登记注册类型和行业分限额以上餐饮业企业流动资产
1.19.6.3,按登记注册类型和行业分限额以上餐饮业企业固定资产
1.19.6.4,按登记注册类型和行业分限额以上餐饮业企业负债
1.19.6.5,按登记注册类型和行业分限额以上餐饮业企业所有者权益
1.19.7,限额以上餐饮业企业主要财务指标
1.19.7.1,按登记注册类型和行业分限额以上餐饮业企业主营业务收入
1.19.7.2,按登记注册类型和行业分限额以上餐饮业企业主营业务成本
